,Title,Rating,votings,Duration,voting_counts
0,1. The Electric State,5.9, (49),2h 5m, (45K)
1,2. Novocaine,6.8, (49),1h 50m, (11K)
2,5. Sonic the Hedgehog 3,6.9, (49),1h 50m, (54K)
3,6. The Ministry of Ungentlemanly Warfare,6.8, (49),2h 2m, (133K)
4,7. Deadpool & Wolverine,7.6, (49),2h 8m, (483K)
5,8. Dog Man,6.3, (49),1h 29m, (7.6K)
6,9. Fight or Flight,6.4, (49),1h 37m, (5K)
7,10. The Toxic Avenger,6.0, (49),1h 42m, (555)
8,12. Borderlands,4.7, (49),1h 41m, (46K)
9,13. Dungeons & Dragons: Honor Among Thieves,7.2, (49),2h 14m, (257K)
10,14. Marching Powder,5.6, (49),1h 36m, (1.1K)
11,15. Back in Action,5.9, (49),1h 54m, (52K)
12,16. Everything Everywhere All at Once,7.8, (49),2h 19m, (576K)
13,17. The Fall Guy,6.8, (49),2h 6m, (218K)
14,18. Love Hurts,5.2, (49),1h 23m, (7.6K)
15,19. Guardians of the Galaxy,8.0, (49),2h 1m, (1.3M)
16,20. Bullet Train,7.3, (49),2h 7m, (487K)
17,21. The Nice Guys,7.4, (49),1h 56m, (392K)
18,22. Guardians of the Galaxy Vol. 3,7.9, (49),2h 30m, (422K)
19,23. Tropic Thunder,7.1, (49),1h 47m, (466K)
20,24. Ready or Not,6.8, (49),1h 35m, (212K)
21,25. Men in Black,7.3, (49),1h 38m, (636K)
22,26. The Suicide Squad,7.2, (49),2h 12m, (430K)
23,27. Baywatch,5.5, (49),1h 56m, (210K)
24,28. Charlie's Angels,5.6, (49),1h 38m, (201K)
25,29. Ghostbusters,7.8, (49),1h 45m, (469K)
26,30. Red One,6.3, (49),2h 3m, (138K)
27,31. Scott Pilgrim vs. the World,7.5, (49),1h 52m, (480K)
28,32. Argylle,5.6, (49),2h 19m, (92K)
29,33. Deadpool,8.0, (49),1h 48m, (1.2M)
30,34. The Killer's Game,5.8, (49),1h 44m, (16K)
31,35. Sonic the Hedgehog 2,6.5, (49),2h 2m, (105K)
32,36. Freaky Tales,6.5, (49),1h 46m, (383)
33,37. Free Guy,7.1, (49),1h 55m, (459K)
34,38. Sonic the Hedgehog,6.5, (49),1h 39m, (179K)
35,39. Spider-Man: Into the Spider-Verse,8.4, (49),1h 57m, (723K)
36,40. Bad Boys: Ride or Die,6.5, (49),1h 55m, (98K)
37,41. Ghosted,5.8, (49),1h 56m, (72K)
38,42. Red,7.0, (49),1h 51m, (331K)
39,43. Thor: Love and Thunder,6.2, (49),1h 58m, (429K)
40,44. Kingsman: The Secret Service,7.7, (49),2h 9m, (749K)
41,45. Logan Lucky,7.0, (49),1h 58m, (170K)
42,46. Kick-Ass,7.6, (49),1h 57m, (608K)
43,47. Jumanji: Welcome to the Jungle,7.0, (49),1h 59m, (475K)
44,48. Old Guy,5.2, (49),1h 34m, (1.9K)
45,49. Zootopia,8.0, (49),1h 48m, (576K)
46,50. 48 Hrs.,6.9, (49),1h 36m, (89K)
47,51. Thelma,7.0, (49),1h 38m, (22K)
48,52. Pixels,5.6, (49),1h 45m, (169K)
49,53. Puss in Boots: The Last Wish,7.8, (49),1h 42m, (201K)
50,54. Rush Hour,7.0, (49),1h 38m, (310K)
51,55. Big Trouble in Little China,7.2, (49),1h 39m, (160K)
52,56. Deadpool 2,7.6, (49),1h 59m, (708K)
53,57. The Unbearable Weight of Massive Talent,7.0, (49),1h 47m, (168K)
54,58. Thor: Ragnarok,7.9, (49),2h 10m, (850K)
55,59. The Toxic Avenger,6.2, (49),1h 22m, (34K)
56,61. Shazam! Fury of the Gods,5.9, (49),2h 10m, (135K)
57,62. Superhero Movie,4.7, (49),1h 15m, (79K)
58,63. Teenage Mutant Ninja Turtles,6.8, (49),1h 33m, (108K)
59,64. Hercules,7.3, (49),1h 33m, (266K)
60,65. Guardians of the Galaxy Vol. 2,7.6, (49),2h 16m, (790K)
61,66. Hot Fuzz,7.8, (49),2h 1m, (550K)
62,67. Miss Congeniality,6.3, (49),1h 49m, (239K)
63,68. Red Notice,6.3, (49),1h 58m, (337K)
64,69. The Family Plan,6.3, (49),1h 58m, (52K)
65,70. Renfield,6.4, (49),1h 33m, (111K)
66,71. Spy,7.0, (49),2h, (267K)
67,72. Big Hero 6,7.8, (49),1h 42m, (526K)
68,73. The Union,5.4, (49),1h 47m, (52K)
69,74. Sankrathiki Vasthunam,6.2, (49),2h 40m, (2.9K)
70,75. Men in Black II,6.2, (49),1h 28m, (417K)
71,76. True Lies,7.3, (49),2h 21m, (290K)
72,77. Kingsman: The Golden Circle,6.7, (49),2h 21m, (383K)
73,78. Incredibles 2,7.5, (49),1h 58m, (349K)
74,79. Operation Fortune: Ruse de Guerre,6.3, (49),1h 54m, (99K)
75,80. Hancock,6.4, (49),1h 32m, (526K)
76,81. Men in Black³,6.8, (49),1h 46m, (399K)
77,82. Zombieland,7.5, (49),1h 28m, (643K)
78,83. Boss Level,6.8, (49),1h 40m, (84K)
79,84. Spider-Man: Far from Home,7.4, (49),2h 9m, (592K)
80,85. Kung Fu Panda,7.6, (49),1h 32m, (548K)
81,86. Ant-Man and the Wasp: Quantumania,6.0, (49),2h 4m, (248K)
82,87. Brave,7.1, (49),1h 33m, (460K)
83,88. Beverly Hills Cop,7.4, (49),1h 45m, (223K)
84,89. Mr. & Mrs. Smith,6.5, (49),2h, (564K)
85,90. The Man from U.N.C.L.E.,7.2, (49),1h 56m, (346K)
86,91. Shazam!,7.0, (49),2h 12m, (399K)
87,92. Drive-Away Dolls,5.4, (49),1h 24m, (23K)
88,94. 21 Jump Street,7.2, (49),1h 49m, (620K)
89,95. Kung Fu Panda 4,6.3, (49),1h 34m, (67K)
90,96. Bad Boys,6.8, (49),1h 59m, (304K)
91,97. Ocean's Eight,6.3, (49),1h 50m, (251K)
92,98. The Instigators,6.2, (49),1h 41m, (37K)
93,99. The Brothers Grimsby,6.2, (49),1h 23m, (115K)
94,100. Sky High,6.3, (49),1h 40m, (98K)
95,101. Teenage Mutant Ninja Turtles,5.8, (49),1h 41m, (225K)
96,102. The Other Guys,6.7, (49),1h 47m, (298K)
97,103. The Lego Movie,7.7, (49),1h 40m, (400K)
98,105. Henry Danger: The Movie,4.8, (49),1h 26m, (1.8K)
99,106. Beverly Hills Cop: Axel F,6.4, (49),1h 58m, (81K)
100,107. Lift,5.5, (49),1h 47m, (49K)
101,108. Jumanji: The Next Level,6.6, (49),2h 3m, (301K)
102,109. Teenage Mutant Ninja Turtles: Mutant Mayhem,7.2, (49),1h 39m, (73K)
103,110. Game Night,6.9, (49),1h 40m, (264K)
104,111. American Made,7.1, (49),1h 55m, (218K)
105,112. How to Train Your Dragon: The Hidden World,7.4, (49),1h 44m, (162K)
106,113. The Lost City,6.1, (49),1h 52m, (169K)
107,114. Ant-Man,7.2, (49),1h 57m, (747K)
108,115. Hundreds of Beavers,7.6, (49),1h 48m, (12K)
109,116. Kindergarten Cop,6.3, (49),1h 51m, (168K)
110,117. Maverick,7.0, (49),2h 7m, (122K)
111,118. Monsters vs. Aliens,6.4, (49),1h 34m, (182K)
112,119. The Cannonball Run,6.2, (49),1h 35m, (42K)
113,120. Rat Race,6.5, (49),1h 52m, (126K)
114,121. Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,6.1, (49),1h 49m, (273K)
115,122. Raya and the Last Dragon,7.3, (49),1h 47m, (180K)
116,124. How to Train Your Dragon 2,7.8, (49),1h 42m, (379K)
117,125. Charlie's Angels: Full Throttle,4.9, (49),1h 46m, (136K)
118,126. You Don't Mess with the Zohan,5.6, (49),1h 53m, (220K)
119,127. Austin Powers in Goldmember,6.2, (49),1h 34m, (228K)
120,128. The Iron Giant,8.1, (49),1h 26m, (243K)
121,129. It's a Mad Mad Mad Mad World,7.5, (49),3h 30m, (48K)
122,130. Planet Terror,7.0, (49),1h 45m, (228K)
123,131. The School for Good and Evil,5.9, (49),2h 27m, (39K)
124,132. Romancing the Stone,6.9, (49),1h 46m, (107K)
125,134. Austin Powers: The Spy Who Shagged Me,6.7, (49),1h 35m, (255K)
126,135. Hot Shots!,6.7, (49),1h 25m, (120K)
127,136. Spy Kids,5.6, (49),1h 28m, (131K)
128,137. Journey 2: The Mysterious Island,5.7, (49),1h 34m, (116K)
129,138. Rush Hour 2,6.7, (49),1h 30m, (249K)
130,139. Tag,6.5, (49),1h 40m, (155K)
131,140. Rango,7.3, (49),1h 47m, (304K)
132,142. Brothers,5.4, (49),1h 29m, (13K)
133,143. Zombieland: Double Tap,6.7, (49),1h 39m, (214K)
134,144. 3 Ninjas,5.3, (49),1h 24m, (24K)
135,145. Mayhem,6.4, (49),1h 26m, (27K)
136,146. The Adam Project,6.7, (49),1h 46m, (245K)
137,147. We Can Be Heroes,4.7, (49),1h 40m, (18K)
138,148. Army of Thieves,6.4, (49),2h 7m, (93K)
139,149. Love and Monsters,6.9, (49),1h 49m, (152K)
140,150. Dick Tracy,6.2, (49),1h 45m, (68K)
141,151. Weird: The Al Yankovic Story,6.9, (49),1h 48m, (44K)
142,152. The Lego Batman Movie,7.3, (49),1h 44m, (181K)
143,153. Last Action Hero,6.5, (49),2h 10m, (169K)
144,154. The Gardener,4.1, (49),1h 50m, (1.1K)
145,155. Rush Hour 3,6.2, (49),1h 31m, (191K)
146,156. Ant-Man and the Wasp,7.0, (49),1h 58m, (470K)
147,157. Mad Heidi,5.5, (49),1h 32m, (4.8K)
148,158. Please Don't Destroy: The Treasure of Foggy Mountain,6.0, (49),1h 32m, (9.9K)
149,159. Speed Racer,6.1, (49),2h 15m, (80K)
150,160. Ghostbusters II,6.6, (49),1h 48m, (233K)
151,161. The Brothers Grimm,5.9, (49),1h 58m, (129K)
152,162. Pineapple Express,6.9, (49),1h 51m, (364K)
153,163. Knight and Day,6.3, (49),1h 49m, (217K)
154,164. Wild Wild West,4.9, (49),1h 46m, (170K)
155,165. Street Fighter,4.1, (49),1h 42m, (77K)
156,166. The Mask of Zorro,6.8, (49),2h 16m, (203K)
157,167. Men in Black: International,5.6, (49),1h 54m, (153K)
158,168. Charlie's Angels,5.0, (49),1h 58m, (83K)
159,169. Dora and the Lost City of Gold,6.1, (49),1h 42m, (37K)
160,170. Team America: World Police,7.2, (49),1h 38m, (182K)
161,171. Megamind,7.3, (49),1h 35m, (308K)
162,172. Ghostbusters,6.8, (49),1h 57m, (253K)
163,173. Buffy the Vampire Slayer,5.7, (49),1h 26m, (52K)
164,174. The World's End,6.9, (49),1h 49m, (305K)
165,175. Teenage Mutant Ninja Turtles: Out of the Shadows,5.9, (49),1h 52m, (103K)
166,176. The Angry Birds Movie,6.3, (49),1h 37m, (110K)
167,177. Sahara,6.1, (49),2h 4m, (106K)
168,178. Central Intelligence,6.3, (49),1h 47m, (225K)
169,179. Pain & Gain,6.4, (49),2h 9m, (235K)
170,180. Jackpot!,5.8, (49),1h 46m, (30K)
171,181. 2 Guns,6.7, (49),1h 49m, (231K)
172,182. Superman III,5.0, (49),2h 5m, (77K)
173,183. Bad Boys II,6.6, (49),2h 27m, (280K)
174,184. The Hitman's Bodyguard,6.9, (49),1h 58m, (255K)
175,185. Dhoom Dhaam,6.4, (49),1h 48m, (5.4K)
176,187. Jungle Cruise,6.6, (49),2h 7m, (220K)
177,188. George of the Jungle,5.6, (49),1h 32m, (87K)
178,189. Shotgun Wedding,5.5, (49),1h 41m, (41K)
179,190. Spenser Confidential,6.2, (49),1h 51m, (102K)
180,191. The Ridiculous 6,4.9, (49),1h 59m, (56K)
181,192. Lightyear,6.1, (49),1h 45m, (130K)
182,193. Scouts Guide to the Zombie Apocalypse,6.3, (49),1h 33m, (58K)
183,194. Crocodile Dundee II,5.7, (49),1h 51m, (62K)
184,195. Land of the Lost,5.3, (49),1h 42m, (77K)
185,196. The Adventures of Sharkboy and Lavagirl 3-D,3.8, (49),1h 33m, (44K)
186,197. Kung Fu Panda 2,7.3, (49),1h 30m, (337K)
187,198. Kick-Ass 2,6.5, (49),1h 43m, (294K)
188,199. Bad Boys for Life,6.5, (49),2h 4m, (190K)
189,200. 22 Jump Street,7.0, (49),1h 52m, (421K)
190,201. Spy Kids 3: Game Over,4.4, (49),1h 24m, (69K)
191,202. Puss in Boots,6.6, (49),1h 30m, (201K)
192,203. Tango & Cash,6.4, (49),1h 44m, (117K)
193,204. The Pacifier,5.6, (49),1h 35m, (104K)
194,205. Midnight Run,7.5, (49),2h 6m, (99K)
195,206. The Expendables 3,6.1, (49),2h 6m, (201K)
196,207. The Interview,6.5, (49),1h 52m, (366K)
197,208. Small Soldiers,6.3, (49),1h 50m, (108K)
