,Title,Rating,votings,Duration,voting_counts
0,1. Everest,7.1, (16),2h 1m, (239K)
1,2. Into the Wild,8.1, (16),2h 28m, (677K)
2,3. Napoleon,6.3, (16),2h 38m, (171K)
3,4. Lawrence of Arabia,8.3, (16),3h 47m, (328K)
4,5. Society of the Snow,7.8, (16),2h 24m, (160K)
5,"6. Aguirre, the Wrath of God",7.8, (16),1h 35m, (65K)
6,7. Spartacus,7.9, (16),3h 17m, (147K)
7,8. The Messenger: The Story of Joan of Arc,6.4, (16),2h 28m, (71K)
8,9. Wyatt Earp,6.7, (16),3h 11m, (57K)
9,10. In the Heart of the Sea,6.9, (16),2h 2m, (155K)
10,11. The Right Stuff,7.8, (16),3h 13m, (67K)
11,12. Rob Roy,6.9, (16),2h 19m, (47K)
12,13. Wild,7.1, (16),1h 55m, (143K)
13,14. Winner,6.5, (16),1h 43m, (2.3K)
14,15. Papillon,7.2, (16),2h 13m, (91K)
15,16. The Lost City of Z,6.6, (16),2h 21m, (102K)
16,17. Jungle,6.7, (16),1h 55m, (67K)
17,18. Agora,7.1, (16),2h 7m, (74K)
18,19. The Motorcycle Diaries,7.7, (16),2h 6m, (107K)
19,20. Hidalgo,6.7, (16),2h 16m, (87K)
20,21. Eddie the Eagle,7.3, (16),1h 46m, (104K)
21,22. The Fighting 69th,6.6, (16),1h 30m, (2.1K)
22,23. Rescue Dawn,7.3, (16),2h 5m, (113K)
23,24. Togo,7.9, (16),1h 53m, (59K)
24,25. Seven Years in Tibet,7.1, (16),2h 16m, (161K)
25,27. A Walk in the Woods,6.4, (16),1h 44m, (31K)
26,28. Adrift,6.6, (16),1h 36m, (64K)
27,29. 1492: Conquest of Paradise,6.4, (16),2h 34m, (34K)
28,30. The Walk,7.3, (16),2h 3m, (138K)
29,31. Kon-Tiki,7.1, (16),1h 58m, (53K)
30,32. Tracks,7.1, (16),1h 52m, (32K)
31,33. True Spirit,6.8, (16),1h 49m, (11K)
32,34. Queen of the Desert,5.7, (16),2h 8m, (13K)
33,"35. Paul, Apostle of Christ",6.6, (16),1h 48m, (11K)
34,36. Last Days,7.6, (16),2h, (43)
35,37. The Iron Mistress,6.2, (16),1h 50m, (1K)
