Title,Rating,votings,Duration,voting_counts
1. The Electric State,5.9,49,2h 5m,45000.0
2. Novocaine,6.8,49,1h 50m,11000.0
5. Sonic the Hedgehog 3,6.9,49,1h 50m,54000.0
6. The Ministry of Ungentlemanly Warfare,6.8,49,2h 2m,133000.0
7. Deadpool & Wolverine,7.6,49,2h 8m,483000.0
8. Dog Man,6.3,49,1h 29m,7600.0
9. Fight or Flight,6.4,49,1h 37m,5000.0
10. The Toxic Avenger,6.0,49,1h 42m,555.0
12. Borderlands,4.7,49,1h 41m,46000.0
13. Dungeons & Dragons: Honor Among Thieves,7.2,49,2h 14m,257000.0
14. Marching Powder,5.6,49,1h 36m,1100.0
15. Back in Action,5.9,49,1h 54m,52000.0
16. Everything Everywhere All at Once,7.8,49,2h 19m,576000.0
17. The Fall Guy,6.8,49,2h 6m,218000.0
18. Love Hurts,5.2,49,1h 23m,7600.0
19. Guardians of the Galaxy,8.0,49,2h 1m,1300000.0
20. Bullet Train,7.3,49,2h 7m,487000.0
21. The Nice Guys,7.4,49,1h 56m,392000.0
22. Guardians of the Galaxy Vol. 3,7.9,49,2h 30m,422000.0
23. Tropic Thunder,7.1,49,1h 47m,466000.0
24. Ready or Not,6.8,49,1h 35m,212000.0
25. Men in Black,7.3,49,1h 38m,636000.0
26. The Suicide Squad,7.2,49,2h 12m,430000.0
27. Baywatch,5.5,49,1h 56m,210000.0
28. Charlie's Angels,5.6,49,1h 38m,201000.0
29. Ghostbusters,7.8,49,1h 45m,469000.0
30. Red One,6.3,49,2h 3m,138000.0
31. Scott Pilgrim vs. the World,7.5,49,1h 52m,480000.0
32. Argylle,5.6,49,2h 19m,92000.0
33. Deadpool,8.0,49,1h 48m,1200000.0
34. The Killer's Game,5.8,49,1h 44m,16000.0
35. Sonic the Hedgehog 2,6.5,49,2h 2m,105000.0
36. Freaky Tales,6.5,49,1h 46m,383.0
37. Free Guy,7.1,49,1h 55m,459000.0
38. Sonic the Hedgehog,6.5,49,1h 39m,179000.0
39. Spider-Man: Into the Spider-Verse,8.4,49,1h 57m,723000.0
40. Bad Boys: Ride or Die,6.5,49,1h 55m,98000.0
41. Ghosted,5.8,49,1h 56m,72000.0
42. Red,7.0,49,1h 51m,331000.0
43. Thor: Love and Thunder,6.2,49,1h 58m,429000.0
44. Kingsman: The Secret Service,7.7,49,2h 9m,749000.0
45. Logan Lucky,7.0,49,1h 58m,170000.0
46. Kick-Ass,7.6,49,1h 57m,608000.0
47. Jumanji: Welcome to the Jungle,7.0,49,1h 59m,475000.0
48. Old Guy,5.2,49,1h 34m,1900.0
49. Zootopia,8.0,49,1h 48m,576000.0
50. 48 Hrs.,6.9,49,1h 36m,89000.0
51. Thelma,7.0,49,1h 38m,22000.0
52. Pixels,5.6,49,1h 45m,169000.0
53. Puss in Boots: The Last Wish,7.8,49,1h 42m,201000.0
54. Rush Hour,7.0,49,1h 38m,310000.0
55. Big Trouble in Little China,7.2,49,1h 39m,160000.0
56. Deadpool 2,7.6,49,1h 59m,708000.0
57. The Unbearable Weight of Massive Talent,7.0,49,1h 47m,168000.0
58. Thor: Ragnarok,7.9,49,2h 10m,850000.0
59. The Toxic Avenger,6.2,49,1h 22m,34000.0
61. Shazam! Fury of the Gods,5.9,49,2h 10m,135000.0
62. Superhero Movie,4.7,49,1h 15m,79000.0
63. Teenage Mutant Ninja Turtles,6.8,49,1h 33m,108000.0
64. Hercules,7.3,49,1h 33m,266000.0
65. Guardians of the Galaxy Vol. 2,7.6,49,2h 16m,790000.0
66. Hot Fuzz,7.8,49,2h 1m,550000.0
67. Miss Congeniality,6.3,49,1h 49m,239000.0
68. Red Notice,6.3,49,1h 58m,337000.0
69. The Family Plan,6.3,49,1h 58m,52000.0
70. Renfield,6.4,49,1h 33m,111000.0
71. Spy,7.0,49,2h,267000.0
72. Big Hero 6,7.8,49,1h 42m,526000.0
73. The Union,5.4,49,1h 47m,52000.0
74. Sankrathiki Vasthunam,6.2,49,2h 40m,2900.0
75. Men in Black II,6.2,49,1h 28m,417000.0
76. True Lies,7.3,49,2h 21m,290000.0
77. Kingsman: The Golden Circle,6.7,49,2h 21m,383000.0
78. Incredibles 2,7.5,49,1h 58m,349000.0
79. Operation Fortune: Ruse de Guerre,6.3,49,1h 54m,99000.0
80. Hancock,6.4,49,1h 32m,526000.0
81. Men in Black³,6.8,49,1h 46m,399000.0
82. Zombieland,7.5,49,1h 28m,643000.0
83. Boss Level,6.8,49,1h 40m,84000.0
84. Spider-Man: Far from Home,7.4,49,2h 9m,592000.0
85. Kung Fu Panda,7.6,49,1h 32m,548000.0
86. Ant-Man and the Wasp: Quantumania,6.0,49,2h 4m,248000.0
87. Brave,7.1,49,1h 33m,460000.0
88. Beverly Hills Cop,7.4,49,1h 45m,223000.0
89. Mr. & Mrs. Smith,6.5,49,2h,564000.0
90. The Man from U.N.C.L.E.,7.2,49,1h 56m,346000.0
91. Shazam!,7.0,49,2h 12m,399000.0
92. Drive-Away Dolls,5.4,49,1h 24m,23000.0
94. 21 Jump Street,7.2,49,1h 49m,620000.0
95. Kung Fu Panda 4,6.3,49,1h 34m,67000.0
96. Bad Boys,6.8,49,1h 59m,304000.0
97. Ocean's Eight,6.3,49,1h 50m,251000.0
98. The Instigators,6.2,49,1h 41m,37000.0
99. The Brothers Grimsby,6.2,49,1h 23m,115000.0
100. Sky High,6.3,49,1h 40m,98000.0
101. Teenage Mutant Ninja Turtles,5.8,49,1h 41m,225000.0
102. The Other Guys,6.7,49,1h 47m,298000.0
103. The Lego Movie,7.7,49,1h 40m,400000.0
105. Henry Danger: The Movie,4.8,49,1h 26m,1800.0
