,Title,Rating,votings,Duration,voting_counts
0,1. The Last of the Mohicans,7.6, (21),1h 52m, (196K)
1,2. Legends of the Fall,7.5, (21),2h 13m, (191K)
2,3. The Alamo,6.8, (21),2h 42m, (19K)
3,4. Hondo,7.0, (21),1h 23m, (13K)
4,5. Rio Lobo,6.7, (21),1h 54m, (14K)
5,6. How the West Was Won,7.1, (21),2h 44m, (24K)
6,7. Australia,6.6, (21),2h 45m, (132K)
7,8. The Fighting Kentuckian,6.4, (21),1h 40m, (3.7K)
8,9. Free State of Jones,6.9, (21),2h 19m, (66K)
9,10. The Alamo,6.1, (21),2h 17m, (23K)
10,"11. Duck, You Sucker!",7.6, (21),2h 18m, (39K)
11,12. The Beguiled,6.3, (21),1h 33m, (65K)
12,13. Soldier Blue,6.9, (21),1h 52m, (6.8K)
13,15. Two Mules for Sister Sara,7.0, (21),1h 56m, (32K)
14,16. Seraphim Falls,6.6, (21),1h 55m, (36K)
15,17. Journey to Shiloh,5.6, (21),1h 41m, (1.1K)
16,18. Ride with the Devil,6.7, (21),2h 18m, (15K)
17,19. The Undefeated,6.6, (21),1h 59m, (7.9K)
18,20. The Horse Soldiers,7.1, (21),2h, (12K)
19,21. Major Dundee,6.7, (21),2h 3m, (9.1K)
20,22. Friendly Persuasion,7.3, (21),2h 17m, (8.1K)
21,23. Raintree County,6.3, (21),3h 2m, (4.6K)
22,24. Shenandoah,7.3, (21),1h 45m, (10K)
23,25. For Greater Glory: The True Story of Cristiada,6.6, (21),2h 25m, (5.5K)
24,26. One Man's Hero,6.0, (21),2h 1m, (1.4K)
25,27. Northwest Passage,7.0, (21),2h 6m, (4.1K)
26,28. The Stranger Wore a Gun,5.9, (21),1h 23m, (1.6K)
27,29. They Died with Their Boots On,7.2, (21),2h 20m, (7.2K)
28,30. Two Flags West,6.7, (21),1h 32m, (1.3K)
29,31. 100 Rifles,6.0, (21),1h 50m, (4.1K)
30,32. They Came to Cordura,6.4, (21),2h 3m, (2.5K)
31,33. Drums Along the Mohawk,7.0, (21),1h 44m, (7K)
32,34. Distant Drums,6.3, (21),1h 41m, (2.5K)
33,35. The Last Command,6.2, (21),1h 45m, (1K)
34,36. Santa Fe Trail,6.2, (21),1h 50m, (4.3K)
35,37. Minnesota Clay,6.0, (21),1h 30m, (995)
36,38. AmeriGeddon,3.8, (21),1h 30m, (13K)
37,39. Springfield Rifle,6.5, (21),1h 33m, (2.4K)
38,40. Allegheny Uprising,6.3, (21),1h 21m, (1.9K)
39,41. Custer of the West,5.8, (21),2h 23m, (1.7K)
40,42. The Guns of Fort Petticoat,6.3, (21),1h 22m, (1.7K)
41,"43. Adiós, Sabata",5.9, (21),1h 44m, (2.4K)
42,44. The Round-Up,7.5, (21),1h 30m, (3.5K)
43,45. The Scavengers,4.8, (21),1h 34m, (264)
44,46. The Great Sioux Massacre,5.1, (21),1h 31m, (728)
45,47. The Great Locomotive Chase,6.8, (21),1h 25m, (1.4K)
46,48. Don't Turn the Other Cheek!,5.8, (21),1h 43m, (690)
47,49. A Texas Funeral,6.2, (21),1h 38m, (850)
48,50. White Sun of the Desert,7.7, (21),1h 24m, (8.2K)
49,51. Mohawk,4.7, (21),1h 31m, (1.8K)
50,52. Dark Command,6.7, (21),1h 34m, (3.2K)
51,53. Villa Rides,6.3, (21),2h 5m, (2.4K)
52,54. La ley del monte,6.9, (21),1h 55m, (132)
53,"55. Salome, Where She Danced",5.4, (21),1h 30m, (392)
54,56. The Raid,6.8, (21),1h 23m, (1.1K)
55,57. Battle of Little Bighorn,6.1, (21),45m, (124)
56,58. Custer's Strategy of Defeat,7.9, (21),1h 30m, (12)
57,59. The Deerslayer,5.5, (21),1h 18m, (438)
58,60. Sucedió en Jalisco,6.6, (21),1h 40m, (21)
59,61. War Paint,5.7, (21),1h 29m, (557)
60,62. Mosby's Marauders,6.1, (21),1h 20m, (134)
61,63. Gatling Gun,5.6, (21),1h 30m, (424)
62,"65. At Home Among Strangers, a Stranger Among His Own",7.4, (21),1h 37m, (3.7K)
63,"66. Taza, Son of Cochise",5.6, (21),1h 19m, (1.1K)
64,67. The Last of the Mohicans,6.7, (21),1h 13m, (1.5K)
65,68. Fort Ti,5.1, (21),1h 13m, (322)
66,69. The Last Confederate: The Story of Robert Adams,5.3, (21),1h 36m, (542)
67,70. Operator 13,5.8, (21),1h 25m, (1.5K)
68,71. The Last of the Mohicans,5.8, (21),3h 51m, (184)
69,72. Sky Bandits,4.7, (21),1h 45m, (351)
70,73. Bandido!,6.0, (21),1h 32m, (1.2K)
71,74. War Arrow,5.9, (21),1h 18m, (966)
72,75. Honky Tonk,6.5, (21),1h 45m, (1.3K)
73,76. Advance to the Rear,5.9, (21),1h 40m, (933)
74,77. Tap Roots,6.5, (21),1h 49m, (463)
75,78. Fort Yuma Gold,6.0, (21),1h 36m, (703)
76,79. Louisiane,5.4, (21),3h 6m, (143)
77,80. The Housing Bubble,9.0, (21),1h 22m, (61)
78,81. Texas to Bataan,5.3, (21),56m, (115)
79,82. A Southern Yankee,6.6, (21),1h 30m, (546)
80,83. Convoi de femmes,3.5, (21),1h 20m, (43)
81,84. The Little Shepherd of Kingdom Come,6.1, (21),1h 48m, (129)
82,86. Young Jesse James,5.0, (21),1h 13m, (174)
83,87. Battles of Chief Pontiac,5.6, (21),1h 12m, (233)
84,88. Wicked Spring,4.7, (21),1h 42m, (1K)
85,89. The Pathfinder,5.5, (21),1h 18m, (256)
86,90. Smoke in the Wind,6.0, (21),1h 38m, (56)
87,91. Go West,6.7, (21),1h 36m, (938)
88,92. Yellowneck,4.5, (21),1h 23m, (268)
89,93. Man of Conquest,6.0, (21),1h 45m, (208)
90,94. Nido de águilas,6.9, (21),1h 49m, (14)
91,95. Maiden Bridge,6.8, (21),1h 35m, (242)
92,96. Those Dirty Dogs,5.4, (21),1h 23m, (248)
93,97. Custer's Last Stand,4.7, (21),5h 28m, (256)
94,98. The Long Ride,5.8, (21),1h 36m, (231)
95,99. Martyrs of the Alamo,5.6, (21),1h 11m, (223)
96,100. Viva Revolution,6.8, (21),1h 40m, (162)
97,103. The Man from Dakota,5.6, (21),1h 15m, (140)
98,104. The Book of Fate,3.7, (21),1h 25m, (629)
99,105. 13 Fighting Men,5.0, (21),1h 9m, (117)
100,106. With Buffalo Bill on the U. P. Trail,5.8, (21),54m, (27)
101,107. Heroes of the Alamo,5.8, (21),1h 15m, (89)
102,108. The Coldest Winter,7.2, (21),1h 30m, (32)
103,110. Ride a Violent Mile,4.9, (21),1h 20m, (43)
104,111. For a Few Bullets,5.3, (21),1h 55m, (248)
105,112. The revolution of Juan Shotgun,6.8, (21),1h 34m, (88)
106,113. Chicogrande,6.5, (21),1h 35m, (168)
107,114. The Treasure of Pancho Villa,5.6, (21),1h 32m, (555)
108,115. NokotaHeart,8.1, (21),1h, (20)
109,116. Muerte a sangre fría,6.3, (21),1h 39m, (18)
110,117. Cowboy Canteen,6.5, (21),1h 12m, (89)
111,118. Obracun,6.9, (21),1h 25m, (65)
112,119. Contested Ground,7.7, (21),47m, (16)
113,120. Il lungo giorno della violenza,6.9, (21),1h 40m, (49)
114,121. Mission of Danger,5.2, (21),1h 20m, (148)
115,122. El grito en la sangre,7.1, (21),1h 39m, (28)
116,123. La chamuscada (Tierra y libertad),8.0, (21),1h 30m, (27)
117,124. The Percy Harris Story,7.9, (21),2h 6m, (18)
118,125. John Ericsson - Victor of Hampton Roads,5.9, (21),1h 32m, (42)
119,126. The Great Indian Wars 1840-1890,5.7, (21),1h 36m, (88)
120,128. The Seventh Bullet,6.4, (21),1h 19m, (117)
121,129. Brat doktora Homera,7.3, (21),1h 24m, (200)
122,130. Firetrail,2.8, (21),1h 54m, (58)
123,131. End of the Trail,7.6, (21),1h 10m, (18)
124,133. Lucio Vázquez,7.5, (21),1h 25m, (23)
125,134. Corpus Christi Bandits,5.8, (21),56m, (62)
126,135. Secret Service,5.7, (21),1h 8m, (114)
127,136. What Was Ours,7.6, (21),1h 19m, (105)
128,139. Mr Lincoln's Army: Fighting Brigades of the Army of the Potomac,8.0, (21),1h, (9)
129,140. Brocket 99: Rockin' the Country,7.0, (21),1h 38m, (7)
130,141. Aquí está Juan Colorado,6.5, (21),1h 25m, (9)
131,143. Etida,7.1, (21),1h 2m, (62)
132,144. Mi caballo prieto rebelde,5.0, (21),1h 25m, (8)
133,146. Court-Martial,6.6, (21),1h 5m, (35)
134,147. Los hermanos del viento,7.2, (21),1h 42m, (10)
135,149. Behind Southern Lines,6.6, (21),51m, (21)
136,150. El último malón,6.5, (21),1h 37m, (113)
137,152. Liberty,3.7, (21),6h 40m, (33)
138,156. CowJews and Indians,6.0, (21),1h 30m, (7)
139,157. Trini,5.6, (21),1h 26m, (17)
140,160. The Yukon Patrol,4.1, (21),1h 8m, (15)
141,163. Paradise,3.1, (21),Not Rated, (18)
142,164. The Border Wireless,5.3, (21),50m, (18)
