,Title,Rating,votings,Duration,voting_counts
0,1. The Alto Knights,5.8, (13),2h 3m, (2.9K)
1,2. Killers of the Flower Moon,7.6, (13),3h 26m, (279K)
2,3. The Irishman,7.8, (13),3h 29m, (451K)
3,4. Sound of Freedom,7.6, (13),2h 11m, (130K)
4,5. Public Enemies,6.9, (13),2h 20m, (328K)
5,7. Wicked Little Letters,7.0, (13),1h 40m, (37K)
6,8. The Assassination of Jesse James by the Coward Robert Ford,7.5, (13),2h 40m, (198K)
7,9. Child 44,6.4, (13),2h 17m, (78K)
8,10. Patriots Day,7.3, (13),2h 13m, (118K)
9,11. Changeling,7.7, (13),2h 21m, (270K)
10,12. Capote,7.3, (13),1h 54m, (145K)
11,13. All the Money in the World,6.8, (13),2h 12m, (94K)
12,14. Boston Strangler,6.5, (13),1h 52m, (38K)
13,15. In Cold Blood,7.9, (13),2h 14m, (31K)
14,16. The Mauritanian,7.5, (13),2h 9m, (67K)
15,17. The Laundromat,6.3, (13),1h 36m, (56K)
16,18. The Act of Killing,8.2, (13),1h 57m, (42K)
17,19. Detroit,7.3, (13),2h 23m, (57K)
18,20. Breach,7.0, (13),1h 50m, (63K)
19,21. The Report,7.2, (13),1h 59m, (54K)
20,22. Texas Killing Fields,5.7, (13),1h 45m, (23K)
21,23. Maharaj,6.5, (13),2h 11m, (15K)
22,24. Marshall,7.3, (13),1h 58m, (28K)
23,"25. Argentina, 1985",7.6, (13),2h 20m, (34K)
24,26. Till,7.2, (13),2h 10m, (17K)
25,27. Polytechnique,7.2, (13),1h 17m, (20K)
26,28. American Animals,7.0, (13),1h 56m, (51K)
27,29. Bel Ami,5.4, (13),1h 42m, (20K)
28,30. True Story,6.3, (13),1h 39m, (74K)
29,31. King of Thieves,5.5, (13),1h 48m, (17K)
30,32. The Baader Meinhof Complex,7.3, (13),2h 30m, (41K)
31,33. 22 July,6.8, (13),2h 23m, (39K)
32,34. The Settlers,6.9, (13),1h 37m, (5.7K)
33,36. Exit Through the Gift Shop,7.9, (13),1h 27m, (70K)
34,37. Kama Sutra: A Tale of Love,6.0, (13),1h 54m, (12K)
35,38. The Conspirator,6.9, (13),2h 2m, (30K)
36,39. The Cove,8.4, (13),1h 32m, (52K)
37,40. Ned Kelly,6.4, (13),1h 50m, (29K)
38,41. O.J.: Made in America,8.9, (13),7h 47m, (23K)
39,42. Sardar Udham,8.3, (13),2h 44m, (49K)
40,43. The Treacherous,6.1, (13),2h 13m, (2.4K)
41,44. Harbin,6.4, (13),1h 48m, (515)
42,45. A Call to Spy,6.7, (13),2h 3m, (9.7K)
43,46. Sophie Scholl: The Final Days,7.6, (13),2h, (29K)
44,47. Hollywoodland,6.5, (13),2h 6m, (37K)
45,49. Lonely Hearts,6.4, (13),1h 48m, (23K)
46,50. Extreme Prejudice,6.6, (13),1h 45m, (9.3K)
47,51. Hinterland,6.2, (13),1h 38m, (1.8K)
48,52. Ip Man 3,7.0, (13),1h 45m, (62K)
49,53. Lansky,6.2, (13),1h 59m, (11K)
50,54. Max Manus: Man of War,7.3, (13),1h 58m, (31K)
51,56. Pierrepoint: The Last Hangman,7.4, (13),1h 35m, (5.8K)
52,57. In Her Place,6.2, (13),1h 36m, (1.4K)
53,58. 13th,8.2, (13),1h 40m, (38K)
54,59. Chapter 27,5.6, (13),1h 24m, (12K)
55,60. Man on Wire,7.7, (13),1h 34m, (60K)
56,61. Jubilee,6.0, (13),1h 46m, (3.8K)
57,62. Driven,6.4, (13),1h 53m, (8.8K)
58,63. Escobar: Paradise Lost,6.5, (13),2h, (24K)
59,64. Executive Action,6.7, (13),1h 31m, (3.5K)
60,65. The Emperor of Paris,6.3, (13),2h, (6.4K)
61,66. Compulsion,7.4, (13),1h 43m, (8K)
62,67. The Counterfeiters,7.5, (13),1h 39m, (48K)
63,68. Bandit Queen,7.5, (13),1h 59m, (5.6K)
64,69. Rogue Trader,6.4, (13),1h 41m, (11K)
65,70. Ted Bundy: American Boogeyman,3.9, (13),1h 36m, (2K)
66,71. The Goldman Case,7.0, (13),1h 55m, (3K)
67,72. The Central Park Five,7.7, (13),1h 59m, (8.1K)
68,73. Phantom,6.2, (13),2h 13m, (893)
69,74. The Newton Boys,6.1, (13),2h 2m, (13K)
70,75. AUM: The Cult at the End of the World,6.4, (13),1h 46m, (90)
71,76. Let Him Have It,7.1, (13),1h 55m, (3.9K)
72,78. Most Wanted,6.2, (13),2h 5m, (5.8K)
73,79. Stockholm,6.1, (13),1h 32m, (15K)
74,80. Burke and Hare,6.1, (13),1h 31m, (22K)
75,81. Black Friday,8.4, (13),2h 23m, (23K)
76,82. The Librarians,8.6, (13),1h 30m, (23)
77,83. Unforgiven,7.0, (13),2h 15m, (2.9K)
78,84. In Dubious Battle,6.0, (13),1h 50m, (4.6K)
