,Title,Rating,votings,Duration,voting_counts
0,1. Under Paris,5.2, (7),1h 44m, (36K)
1,2. Billy Lynn's Long Halftime Walk,6.2, (7),1h 53m, (25K)
2,3. Kickboxer,6.4, (7),1h 37m, (64K)
3,4. Point Break,5.3, (7),1h 54m, (68K)
4,5. Vertical Limit,6.0, (7),2h 4m, (67K)
5,6. No Limit,5.8, (7),1h 58m, (4.2K)
6,7. Pawn Sacrifice,7.0, (7),1h 55m, (52K)
7,8. Above the Rim,6.6, (7),1h 36m, (18K)
8,9. Poolhall Junkies,6.8, (7),1h 39m, (11K)
9,10. Race for Glory: Audi vs. Lancia,5.8, (7),1h 49m, (4.7K)
10,11. Deathsport,4.1, (7),1h 22m, (2.7K)
11,12. Before the Fall,7.4, (7),1h 50m, (18K)
12,13. The Fan,5.9, (7),1h 56m, (53K)
13,14. Drown,5.6, (7),1h 33m, (1.7K)
14,15. Tatami,7.4, (7),1h 45m, (2.3K)
15,16. Man on Wire,7.7, (7),1h 34m, (60K)
16,17. The Great American Girl Robbery,4.7, (7),1h 27m, (609)
17,18. The Harder They Fall,7.5, (7),1h 49m, (9.6K)
18,19. Blue Lock: Episode Nagi,6.6, (7),1h 31m, (2.4K)
19,20. Baki Hanma VS Kengan Ashura,5.7, (7),1h 2m, (1.9K)
20,21. 6 Below: Miracle on the Mountain,5.7, (7),1h 38m, (8.9K)
21,22. Night and the City,7.8, (7),1h 36m, (16K)
22,23. Trading Paint,4.5, (7),1h 27m, (2.7K)
23,24. Bionic,4.3, (7),1h 50m, (1.7K)
24,25. Balestra,5.1, (7),2h 25m, (519)
25,26. The Galloping Ghost,5.7, (7),3h 46m, (196)
26,27. Kickboxer 3: The Art of War,4.2, (7),1h 32m, (3.7K)
27,28. Crakk: Jeetega... Toh Jiyegaa,4.7, (7),2h 34m, (6.5K)
28,29. Paan Singh Tomar,8.2, (7),2h 15m, (39K)
29,30. Beyond the Summit,5.5, (7),1h 35m, (339)
30,31. At Any Price,5.6, (7),1h 45m, (8.1K)
31,32. Glass Jaw,5.2, (7),1h 38m, (4.9K)
32,33. The Coldest Game,6.2, (7),1h 42m, (13K)
33,34. Ganapath,2.7, (7),2h 13m, (11K)
34,35. The Miranda Brothers,4.4, (7),1h 39m, (188)
35,36. Girl Blood Sport,3.2, (7),5h 54m, (282)
36,37. Dhan Dhana Dhan Goal,5.1, (7),2h 47m, (3K)
37,38. Pierce,6.5, (7),1h 49m, (124)
38,39. Full Contact,5.4, (7),1h 36m, (412)
39,40. Icarus: The Aftermath,7.9, (7),1h 51m, (42)
40,41. Dangerous Moves,6.6, (7),1h 40m, (1.6K)
41,42. The Speed Track,5.8, (7),PG-13, (392)
42,43. Anek,6.4, (7),2h 27m, (23K)
43,44. The Swimmers,5.7, (7),1h 55m, (821)
